title,artist,spotify_id
die first,Nessa Barrett,21szgNA72iLwvBxHQLgwBh
High On Heaven,Nessa Barrett,4VDT0bb5RpkfoUoiVjGlrR
lie,Nessa Barrett,2GQqCyDCD0Z7BL2otJkFRh
i hope ur miserable until ur dead,Nessa Barrett,4ka1FkKAMde6dQAFFMXKac
DIRTY LITTLE SECRET,Nessa Barrett,2LaLzmU2vny0lwlyi6sCp2
do you really want to hurt me?,Nessa Barrett,2xMY0vcPCP5GHHqom5i6Gl
'Til Death Do Us Part,Nessa Barrett,5THNBQK9Nq8gGqENHBvDpL
lovebomb,Nessa Barrett,6g5ToBz8mGURaauPqfyYvU
american jesus,Nessa Barrett,6gnjE8oBkosBIEZroEjq4I
girl in new york,Nessa Barrett,3eGIiMTMZduPDb4MN0NTqD
MUSTANG BABY (FT. ARTEMAS),Nessa Barrett,31rLeplcJIGfbvUBpPa9f7
DISCO (FT. TOMMY GENESIS),Nessa Barrett,2kiZ6klK4KFOAMEmj66WYg
West Coast Prayer,Nessa Barrett,5LathR6JPE1xSQa15wVbzD
gaslight,Nessa Barrett,1w6EDue1Ze95AzYcjr8ED3
club heaven,Nessa Barrett,1nO6DT2QIYTxwLGrfQvIt3
tired of california,Nessa Barrett,2SOhUiyKpnlshR3SFh733w
madhouse,Nessa Barrett,1s9e1EBT6eYbDOneeBB6r0
Khi Yêu Nào Đâu Ai Muốn - Remix,Ness Remix,57Nj4Mh6VwcaYtL9tco1uY
Mở Lòng Vì Ai - Remix,Ness Remix,6bniRGqGUVVLoDhogxAPDr
"다 무거따 (feat. 오왼, ST Abel, KOR KASH, Street Baby, EK, Kevin, TOAST BOY, AMONG, Young Harry, CHERRY BOY 17, Ponyromo & BigBaby) - MEGA MIX Version",New Champ,31b5jeEedZPIaywHkhvzgy
"Drunken Tiger kids (feat. Innovator, Gwangil Jo, Sikboy, WONA & Jung Sangsoo)",New Champ,2sksHwq75PdCJItBDL3NWo
나의 투쟁,New Champ,33NrktsmuB62oIDLfQAoRN
"YAHAGE (feat.kyebumzu,Ji heepil)",New Champ,3DO0X0GrcdQLcj7fgCupAo
"개릴라스탕스 (feat. Jayho, 콸라, 넉살, 영제이 & 사무엘)",New Champ,6ohWkIO6oi2yFzbApH35Rx
New Champ (feat. Joosuc),New Champ,6ZUgDMc1UclhzzATKKEUBm
Mercy is dead,New Champ,6RJOMnyLHffgJ8lNQmRYnQ
"다 무거따 (Feat. 포니로모,빅베이비,코르케쉬,스트릿베이비) (prod. Hecop)",New Champ,44cvSaMj1fBDOGH8kbWVA5
"다 무거따 (Feat. 포니로모,빅베이비,코르캐쉬,스트릿베이비) (prod. Hecop)",New Champ,0z5k55kt2TX6ejQsihr8jS
Fauda,New Champ,3eiaEJrmaDn6M8uIWRGBeO
"머뤠이remix (feat.호미들) (prod.EightySix,J.fool)",New Champ,7LSux9BpHCYuWfnDJ3mcr3
Bastard (love pt.4) (remix. YGF) - Remix Version,New Champ,3YTanS0sFg9BttOn1Kj85L
I Know Everything,New Champ,7hcQ8yEYPsIs7wBJro7WXw
"YAMA (feat. 백윤우, Lee rio, KESPESHINE, Nsb(hamseoungbo), MOJ!AL4, Spata, Uoo, BESTBLY, GYECHA, 2ADY & 여수룬)",New Champ,54Qg0zpGDC9qbu6va6GZcE
20102020,New Champ,3MWWfeKUoE7RSVGbMqC9Qb
Mercy,New Champ,5QWj2hpgRZvvX5yi3HOZsp
"다 무거따 (feat. 27AP, BIGN, dura@ce, 강석주, choi2kyun, BigBaby, kimite, South Korean baby, koreanboi & YNG KURT) - 2 MEGA MIX Version",New Champ,02bxS1xLkkUQ9I1w5F5PxD
"The Kingpin (feat. 2Key, Young ICE & Dominico)",New Champ,5Db3p8nbfgxSCNOTrS9qHU
Definitely,New Champ,23tPiUwaioAlT2Dm6aNNMt
"Daese (psy Bro) (feat.Don Mills, BewhY)",New Champ,3p8nuKzobsVzYGjKgFCxjX
Revenge (Skit),New Champ,1OWmx9hJa5E8hTxM1hMLLd
Underboob (love pt.2),New Champ,1lsJxm3b25w9GlDszHl1nZ
Making Love,New Champ,1hxgf1D6zpJruF2CJEfZIi
hotel mi casa (feat. illioN),New Champ,7IO469py2f97crIqxRytVJ
Hacuna girl,New Champ,4gE6t1R2kJW7LKU2ZvkiAA
Caesar (Feat. Richboy Hardy) (Prod. Kingxmags),New Champ,0COzTH4DHjG3p2lZK7fBwH
Bmf,New Champ,1AvQ2z67p1VbsoaRZuDoDe
FOREVER,NO:EL,2tct7pqRDHjt103WB4sNGR
Off my face,NO:EL,2FHN1yeUG0110yvl3Ze8F4
Damn! (Feat. Black Nut),NO:EL,1fkgcLWZQkLzFBrm1TAx0z
Dumb,NO:EL,4c6aB1I4DOSweH2DXaqefZ
I'm gone,NO:EL,4Ka1Xvh5Xpl5gaqyB44xg2
굽 (feat. Loco),NO:EL,6oAd7vjQSvS3Z3S5VxQQ03
yangAHchi,NO:EL,6iO7E52SdD7zfz0X5YoBu5
Ride or die,NO:EL,3Iay0tjEzlUJxrmZf5UR5R
Flower (Feat. Benzamin),NO:EL,50w1OKviRH6Mgf7JiQ0DkB
Cold winter (Prod. GRIO),NO:EL,05rtraXV60p22qXHmy2Agu
FML (Fuck My Life),NO:EL,2qyMzR8K97gkb28IX8DAWv
asteroid (Feat. MELOH),NO:EL,2r2v5xpRJe4hdAdC8FRHeB
You (Feat. DON MALIK),NO:EL,5vAq7vqh9HUPR5LHPFTI68
Alone,NO:EL,24WiM4edp2j6Jm4cqDEWGs
BXXCH (Prod. GRIO),NO:EL,5YljdspJiLWYeH8nnu1jMo
Once upon a time,NO:EL,65FDIYDN6hS2knqOuwDPVD
Fucking Obvious Love Song,NO:EL,018QNEOj1L9GlJfDHky9ZQ
BAD TRIP,NO:EL,6DLTAb7Ldx9eGnp33m17fH
Bad!,NO:EL,35E5leD1ASxuoiqkObSEAk
Immature,NO:EL,5skNVWTumifJA4RNVB6Xj9
Celebration (Prod. By Minit) (Feat. Jhnovr),NO:EL,5JSsQNaAVNYAmjZex0jC4X
Acting Award,NO:EL,3vKj1ctgVqxftl9sA1HR2h
Pass Out (Feat. YANGHONGWON),NO:EL,6eHrcGzA46QzywYBYiLuwV
Runaway,NO:EL,4IVw40uflefuvuvU4zHH2c
230611 Freestyle,NO:EL,1b9EKp86RcXXx1Ewflgpqi
Year End Party (2017),NO:EL,0g2fonzr3aXrA4mJMpdwKl
Acting Award,NO:EL,1KBQ5PohpKrslfiMH9NTFw
Ain't Got Shxt To Say,NO:EL,0g89EP3qZEpwFFZ3IXSuLo
Seoul (Feat. Huh),NO:EL,6amJOWamF7tolut1VJcM8N
0.0 (DOUBLE O),NO:EL,6v4b1pOQzYbyG0MRvzjcAV
the green planet (Feat. J-Tong),northfacegawd,6ZRzcyx079LfWFFtBUaGLp
Bokdukbang,northfacegawd,4hbTXShEqT58auNWQ7KCKG
Bokdukbang remix,northfacegawd,04eSMc5jVgEPOL2VzLO9VO
Juice,northfacegawd,4ZNzJW10hjSdISfQs8M1s2
in the club,northfacegawd,7CBgN7DtI8FyZkGpKferGK
Bank Account,northfacegawd,0uql5xBCTyBjkNOw8xRczp
Ballin',northfacegawd,4uhT2TiiHrY0OAJIqt6h9U
Favorite Food (feat. Don Mills),northfacegawd,6IKtVImG4P0PFtIz2dkcrM
Black Airforce 1,northfacegawd,53gfqsMbGQjXtfZmtFXwyJ
Never Going Back,northfacegawd,750HMnSVHN0IJiAxYNzOAh
Hml,northfacegawd,0PALrfLjqiUWaIPugY6PBZ
Save the green planet (Feat. J-Tong),northfacegawd,6FQYRKANkqHIZtLjPJqsDV
Hide on bush (Feat. 40Faygo),northfacegawd,21ViqdWCtt9698G77GDQ95
Papi,northfacegawd,2p8l8Fl0SD6QFoO6lrEdmR
Python,northfacegawd,4qcZag2BypWhAecioFg8ut
push me,northfacegawd,75WZjYd60FPjAPyS1Jlovy
murder dance,northfacegawd,7lRDFjZMfPN3FF5Gb7eZmv
All new year (feat. LIL GIMCHI),northfacegawd,3Y8nGonlGlKftcLUW5zmKY
All up on my jeans,northfacegawd,00DOXEnSZakngRvG90Qdze
Broccoli,northfacegawd,5xljXjEejpjZWv1VeRMomC
Drive,northfacegawd,05LEAYtwPBmiWTQhQJesUz
Hottest (feat. Briel),northfacegawd,6Fj2NopxeLzF0GS6q1Whr9
Safe freestyle 2 (Feat. KOR KASH),northfacegawd,4Kdt6kaLcCF6SJm8eYq01u
Hyper Obesity,northfacegawd,7IajcT7Oziha8KLSDF6Qtg
Adrenaline 190,northfacegawd,2NA4YUOewYfALw2ZyRZ7im
Hammer,northfacegawd,7oxftyRN2AbI0a3QRvtIp3
Still,northfacegawd,53gFdsVnLioucropJOrUA6
Bankroll (feat. Bawla Gang Banger),northfacegawd,1v2jyX8iAIuoir0Tqx7pBe
Blue Benjamine,northfacegawd,5BwrFEHEjocCXcxRRcSikI
Fufu,northfacegawd,0DGIP538fbWjxY5qFFPWis
TROUBLE (Prod. Slom),Don Mills,5UJTNrW72ZMubW2wKBf8g2
"대박인생 / DAEBAK Life (feat. Northfacegawd, UNEDUCATED KID)",Don Mills,1w0ZVSBdE3Th1Ho50VQn4H
"A Ground Header MEGA Mix (feat. 김모이, 스카이민혁, SINCE, 토이고, Street Baby, 키츠요지, K$AP RAMA, Poison Mushroom, 오담률, CHERRY BOY 17, 노윤하, 그냥노창)",Don Mills,1gfm1c48UetQVzH6jaHWnl
"미래 2 / MEERAE 2 (feat. KHAN, J4 Prada, Polodared)",Don Mills,5ZnFaZ7CAfQ16f1DtkYSn8
Hey! it's a secret,Don Mills,2eLxkkzMKvgGMVpEVK4791
"대박인생 Remix / DAEBAK Life Remix (feat. 로꼬, ZENE THE ZILLA, 창모, Queen WA$ABII, 먼치맨, 수퍼비)",Don Mills,4Pa6pZ6Y2R3Bzo2eIB9mU6
"CHAMELEON (Feat. SUMIN, Dbo) (Prod. SUMIN)",Don Mills,7CP1u7vb5Yyj9qz2e6Ulnk
MVP,Don Mills,3kM96zt7iGGgwKDtxXBcJx
Kingsman,Don Mills,0TCBtHQbgBbAoG5jTxcIJq
88,Don Mills,0MaozTtiw4qrNo1LTnudRw
"88 Remix (Feat. C Jamm, Olltii, PSYCOBAN, WUTAN)",Don Mills,30rVR8FgDgwA87PcS9Hz6J
OKGO2 (Prod. HOLYDAY),Don Mills,5OckvleM32CdLkp0GPOfhl
"Mills Gon Do It REMIX (feat. Woodie Gochild, ZENE THE ZILLA, EK, BILL STAX, ODEE, Deepflow, 창모)",Don Mills,3r5H15BkEeBYbtSlyewweK
Ssal (Feat. J-Tong),Don Mills,0qVoLI0cAStArr9V6dRDUP
? (Prod. GRAY),"SGBOYZ (Jay Park, Don Mills, Loco, Nucksal)",1lVU264I9zQ24l1RnPLPDQ
Art of Boxing,Don Mills,7pGoNNuWvhCF6PY1BnPAJp
"Ye I Need (Feat. Nucksal, ODEE)",Don Mills,1d8EcHq1juKcFzDTIMg4sm
돈이 밀려오는 스타일 / Don Mills Style,Don Mills,4xmxQA6MGozU2iPXZvakRS
Don Mills Glock (Feat. Owen),Don Mills,31b1NL1vOubaVh7SGx6Val
"Wild Hiphop (Feat. C Jamm, Okasian)",Don Mills,0o4nvQn8ffqCEtxhh2zIV0
Totally On Fire,Don Mills,0PLnzBfbz9y1Oy6aleNAI1
미쳤었어 / It Was Crazy (feat. Beenzino),Don Mills,4nSms0PmwDWkQdchtrlJTV
88,Don Mills,6jZBQdjwGUHVboxfnUWKZb
